regime,sigusd_fraction,trigger_ratio,mean_ratio,min_ratio,final_ratio,days_below_100pct
current,0.2,0.9,0.1131,0.0005,0.0005,1730
current,0.2,0.85,0.1149,0.0006,0.0006,1730
current,0.2,0.8,0.1159,0.0006,0.0006,1732
current,0.2,0.75,0.1195,0.0006,0.0006,1733
current,0.3,0.9,0.1424,0.001,0.001,1729
current,0.3,0.85,0.1478,0.0012,0.0012,1729
current,0.3,0.8,0.1627,0.0016,0.0016,1730
current,0.3,0.75,0.1811,0.0027,0.0027,1730
current,0.4,0.9,0.2345,0.0178,0.0178,1728
current,0.4,0.85,0.2763,0.0702,0.0702,1729
current,0.4,0.8,0.2907,0.0905,0.0905,1729
current,0.4,0.75,0.3161,0.127,0.127,1729
current,0.5,0.9,0.4021,0.2266,0.2266,1727
current,0.5,0.85,0.4191,0.2503,0.2503,1728
current,0.5,0.8,0.4446,0.2868,0.2868,1728
current,0.5,0.75,0.4754,0.3359,0.3359,1732
current,0.6,0.9,0.5553,0.4203,0.4203,1724
current,0.6,0.85,0.5814,0.4587,0.4587,1724
current,0.6,0.8,0.6136,0.5088,0.5088,1727
current,0.6,0.75,0.6349,0.5433,0.5433,1732
current,0.7,0.9,0.7152,0.6268,0.6268,1717
current,0.7,0.85,0.7481,0.6777,0.6777,1720
current,0.7,0.8,0.7722,0.7189,0.7189,1720
current,0.7,0.75,0.7941,0.7703,0.7703,1720
uip001,0.2,0.9,0.1649,0.0039,0.0039,1724
uip001,0.2,0.85,0.1737,0.0046,0.0046,1724
uip001,0.2,0.8,0.1757,0.0048,0.0048,1725
uip001,0.2,0.75,0.1886,0.0068,0.0068,1725
uip001,0.3,0.9,0.2689,0.063,0.063,1724
uip001,0.3,0.85,0.2862,0.0863,0.0863,1724
uip001,0.3,0.8,0.2992,0.105,0.105,1724
uip001,0.3,0.75,0.319,0.1322,0.1322,1724
uip001,0.4,0.9,0.3957,0.222,0.222,1724
uip001,0.4,0.85,0.411,0.2433,0.2433,1724
uip001,0.4,0.8,0.4305,0.2705,0.2705,1724
uip001,0.4,0.75,0.4463,0.2942,0.2942,1724
uip001,0.5,0.9,0.5231,0.3824,0.3824,1719
uip001,0.5,0.85,0.5417,0.4081,0.4081,1721
uip001,0.5,0.8,0.5531,0.4264,0.4264,1724
uip001,0.5,0.75,0.5605,0.4407,0.4407,1724
uip001,0.6,0.9,0.6491,0.5411,0.5411,1711
uip001,0.6,0.85,0.6636,0.5629,0.5629,1716
uip001,0.6,0.8,0.6748,0.5831,0.5831,1719
uip001,0.6,0.75,0.6849,0.6019,0.6019,1723
uip001,0.7,0.9,0.7758,0.7028,0.7028,1699
uip001,0.7,0.85,0.7884,0.7243,0.7243,1701
uip001,0.7,0.8,0.8092,0.7655,0.7655,1701
uip001,0.7,0.75,0.8142,0.7841,0.7841,1701
